method,domain,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage
split_cp,source,S0,20260815,0.7693651918060819,0.8908,1.5387303836121635,2.0955724743684456,1.0,0.969,0.907,0.825,0.753
split_cp,target_s1,S1,20260815,0.7693651918060819,0.7978,1.5387303836121635,2.805418137306762,0.904,0.823,0.766,0.753,0.743
split_cp,source,S0,20260816,0.7526576307040089,0.889,1.505315261408018,2.0911712105135916,0.995,0.961,0.916,0.829,0.744
split_cp,target_s1,S1,20260816,0.7526576307040089,0.7912,1.505315261408018,2.784157686800157,0.892,0.805,0.769,0.757,0.733
split_cp,source,S0,20260817,0.7545735589504534,0.8922,1.5091471179009073,2.106091174731757,0.997,0.966,0.914,0.832,0.752
split_cp,target_s1,S1,20260817,0.7545735589504534,0.7956,1.5091471179009073,2.795091146578446,0.92,0.835,0.777,0.749,0.697
split_cp,source,S0,20260818,0.7545358626475014,0.8908,1.509071725295003,2.1331569314678207,1.0,0.971,0.91,0.84,0.733
split_cp,target_s1,S1,20260818,0.7545358626475014,0.7914,1.509071725295003,2.7878740259453063,0.902,0.811,0.758,0.763,0.723
split_cp,source,S0,20260819,0.7763917866511887,0.9018,1.5527835733023774,2.0737087500622047,0.997,0.975,0.916,0.849,0.772
split_cp,target_s1,S1,20260819,0.7763917866511887,0.7994,1.5527835733023774,2.736193863869578,0.903,0.818,0.79,0.756,0.73
split_cp,source,S0,20260820,0.8240451157917092,0.9142,1.6480902315834187,2.0865556021692084,0.997,0.979,0.941,0.865,0.789
split_cp,target_s1,S1,20260820,0.8240451157917092,0.8294,1.6480902315834187,2.6758892951694118,0.93,0.856,0.802,0.801,0.758
split_cp,source,S0,20260821,0.7683160053803882,0.8974,1.5366320107607765,2.103285806879988,0.996,0.959,0.915,0.837,0.78
split_cp,target_s1,S1,20260821,0.7683160053803882,0.7938,1.5366320107607765,2.723245775347425,0.907,0.8,0.78,0.77,0.712
split_cp,source,S0,20260822,0.789978635477917,0.9,1.5799572709558343,2.128079114225734,0.999,0.971,0.931,0.848,0.751
split_cp,target_s1,S1,20260822,0.789978635477917,0.8138,1.5799572709558343,2.6965786074089073,0.907,0.837,0.803,0.78,0.742
split_cp,source,S0,20260823,0.7332584910650136,0.8768,1.4665169821300275,2.1206412447445704,0.998,0.961,0.897,0.813,0.715
split_cp,target_s1,S1,20260823,0.7332584910650136,0.7716,1.4665169821300275,2.892780199919716,0.889,0.8,0.744,0.717,0.708
split_cp,source,S0,20260824,0.7334352136407685,0.8834,1.4668704272815365,2.1168535929235266,0.996,0.962,0.905,0.824,0.73
split_cp,target_s1,S1,20260824,0.7334352136407685,0.7738,1.4668704272815365,2.8816567825806656,0.898,0.813,0.753,0.703,0.702
split_cp,source,S0,20260825,0.6555673676962321,0.8424,1.3111347353924645,2.20310895749198,0.99,0.94,0.869,0.739,0.674
split_cp,target_s1,S1,20260825,0.6555673676962321,0.73,1.3111347353924645,3.101451942352255,0.842,0.722,0.718,0.697,0.671
split_cp,source,S0,20260826,0.770894499366541,0.894,1.541788998733082,2.0788232761159304,0.999,0.977,0.909,0.829,0.756
split_cp,target_s1,S1,20260826,0.770894499366541,0.791,1.541788998733082,2.819648719214929,0.906,0.821,0.78,0.721,0.727
split_cp,source,S0,20260827,0.7507335448357334,0.8888,1.5014670896714666,2.1344093885547437,1.0,0.954,0.902,0.829,0.759
split_cp,target_s1,S1,20260827,0.7507335448357334,0.786,1.5014670896714666,2.802638890224014,0.894,0.788,0.751,0.769,0.728
split_cp,source,S0,20260828,0.8307965738653169,0.9126,1.661593147730634,2.1321703853296317,0.999,0.981,0.926,0.85,0.807
split_cp,target_s1,S1,20260828,0.8307965738653169,0.8244,1.661593147730634,2.7141648419734192,0.925,0.848,0.799,0.799,0.751
split_cp,source,S0,20260829,0.7107157378169655,0.8674,1.4214314756339306,2.182504687405513,0.995,0.945,0.878,0.807,0.712
split_cp,target_s1,S1,20260829,0.7107157378169655,0.7668,1.4214314756339306,2.9058028407145424,0.893,0.769,0.756,0.695,0.721
split_cp,source,S0,20260830,0.8312927932651683,0.9126,1.662585586530337,2.1384384539539396,0.999,0.98,0.948,0.853,0.783
split_cp,target_s1,S1,20260830,0.8312927932651683,0.833,1.662585586530337,2.6222499782865816,0.925,0.88,0.816,0.792,0.752
split_cp,source,S0,20260831,0.8598216230243891,0.9276,1.7196432460487783,2.0860029969483427,1.0,0.981,0.95,0.889,0.818
split_cp,target_s1,S1,20260831,0.8598216230243891,0.8502,1.7196432460487783,2.5698167020110563,0.946,0.874,0.837,0.804,0.79
split_cp,source,S0,20260832,0.805941771425692,0.9064,1.611883542851384,2.0991054947858285,0.998,0.98,0.928,0.849,0.777
