method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage
split_cp,S0,20260788,0.7714876928537857,0.891,1.5429753857075712,2.1556140474421404,0.998,0.968,0.892,0.822,0.775
m0_gaussian,S0,20260789,0.7348249874220332,0.8856,1.4696499748440666,2.061730416288124,0.998,0.967,0.889,0.828,0.746
split_cp,S0,20260789,0.7190983321935263,0.8782,1.4381966643870527,2.0673262052534653,0.998,0.961,0.88,0.814,0.738
m0_gaussian,S0,20260790,0.7701158753899805,0.8998,1.5402317507799612,2.062152705548446,0.996,0.977,0.894,0.849,0.783
split_cp,S0,20260790,0.7697335337188917,0.8996,1.5394670674377835,2.062155609195346,0.996,0.976,0.894,0.849,0.783
m0_gaussian,S0,20260791,0.7875025919632483,0.8968,1.5750051839264965,2.130171685739812,0.997,0.973,0.908,0.84,0.766
split_cp,S0,20260791,0.8250208675133205,0.909,1.6500417350266405,2.1321537679692146,0.998,0.983,0.927,0.851,0.786
m0_gaussian,S0,20260792,0.7776704211708817,0.899,1.5553408423417636,2.0888162952446407,0.995,0.975,0.912,0.853,0.76
split_cp,S0,20260792,0.7709154421170108,0.8958,1.5418308842340218,2.089130388368573,0.995,0.974,0.911,0.847,0.752
m0_gaussian,S0,20260793,0.7792596708700716,0.9058,1.5585193417401435,2.0222349356889433,0.995,0.966,0.913,0.87,0.785
split_cp,S0,20260793,0.7796440474372055,0.906,1.559288094874411,2.0222799224024754,0.995,0.966,0.913,0.871,0.785
m0_gaussian,S0,20260794,0.7774889366542218,0.897,1.5549778733084434,2.110949439072342,0.993,0.966,0.904,0.83,0.792
split_cp,S0,20260794,0.7952079553197724,0.903,1.5904159106395446,2.111103038118693,0.994,0.973,0.912,0.837,0.799
m0_gaussian,S0,20260795,0.7798229710301882,0.8916,1.559645942060376,2.1603025496919828,0.999,0.974,0.919,0.813,0.753
split_cp,S0,20260795,0.7859154223863271,0.8944,1.5718308447726541,2.1594718249497395,1.0,0.975,0.923,0.817,0.757
m0_gaussian,S0,20260796,0.8026539553359717,0.9058,1.6053079106719432,2.0620739369815566,0.998,0.973,0.922,0.856,0.78
split_cp,S0,20260796,0.800453610465046,0.9056,1.6009072209300919,2.0618254259733972,0.998,0.973,0.922,0.856,0.779
m0_gaussian,S0,20260797,0.7753328927716815,0.8964,1.5506657855433628,2.121546985612723,0.998,0.967,0.922,0.843,0.752
split_cp,S0,20260797,0.7823417108967519,0.8986,1.5646834217935037,2.1211669326560667,0.998,0.969,0.925,0.845,0.756
m0_gaussian,S0,20260798,0.7700599266836319,0.8924,1.5401198533672635,2.072990365387655,0.998,0.968,0.913,0.82,0.763
split_cp,S0,20260798,0.7554147137365308,0.8874,1.5108294274730618,2.075973923233663,0.998,0.964,0.905,0.812,0.758
m0_gaussian,S0,20260799,0.7630683630755777,0.8938,1.5261367261511554,2.1070884228836952,0.999,0.977,0.912,0.833,0.748
split_cp,S0,20260799,0.7935914707662224,0.904,1.5871829415324452,2.1064488106695753,0.999,0.985,0.92,0.845,0.771
m0_gaussian,S0,20260800,0.7672687584308777,0.8876,1.5345375168617557,2.1422793941257696,0.993,0.956,0.909,0.835,0.745
split_cp,S0,20260800,0.7479186278801631,0.881,1.4958372557603263,2.1482864254262166,0.993,0.954,0.903,0.824,0.731
m0_gaussian,S0,20260801,0.7289754234369507,0.88,1.457950846873901,2.0876479712955422,0.995,0.968,0.887,0.809,0.741
split_cp,S0,20260801,0.7124961176988357,0.8726,1.4249922353976712,2.0955750813528753,0.994,0.965,0.876,0.799,0.729
m0_gaussian,S0,20260802,0.7947224690724404,0.9042,1.589444938144881,2.059055433036064,1.0,0.979,0.908,0.856,0.778
split_cp,S0,20260802,0.8046251757896725,0.9078,1.6092503515793448,2.0603093291695207,1.0,0.979,0.911,0.864,0.785
m0_gaussian,S0,20260803,0.7854828880747255,0.897,1.5709657761494513,2.1048430983943462,1.0,0.971,0.908,0.842,0.764
split_cp,S0,20260803,0.7738408308269514,0.8916,1.5476816616539026,2.1061670112017254,0.999,0.968,0.905,0.834,0.752
m0_gaussian,S0,20260804,0.7783618778442312,0.8956,1.5567237556884626,2.096558243217783,0.999,0.968,0.909,0.844,0.758
split_cp,S0,20260804,0.743174831461721,0.8804,1.4863496629234418,2.1046074939597283,0.994,0.959,0.893,0.82,0.736
m0_gaussian,S0,20260805,0.7884838332378517,0.9044,1.5769676664757029,2.0624366892946315,0.999,0.974,0.924,0.859,0.766
split_cp,S0,20260805,0.7708042730438569,0.8984,1.5416085460877138,2.061926194481145,0.997,0.971,0.915,0.846,0.763
m0_gaussian,S0,20260806,0.7862756104401949,0.9042,1.5725512208803898,2.109608774944904,0.999,0.973,0.932,0.85,0.767
split_cp,S0,20260806,0.7886999571565356,0.9044,1.5773999143130712,2.109819951130563,0.999,0.973,0.933,0.85,0.767
m0_gaussian,S0,20260807,0.7954984840579593,0.909,1.5909969681159186,2.0581804479324033,0.998,0.967,0.927,0.863,0.79
split_cp,S0,20260807,0.7464513936481132,0.891,1.4929027872962264,2.0577633142075276,0.997,0.955,0.908,0.846,0.749
m0_gaussian,S0,20260808,0.7568165508807294,0.8888,1.5136331017614584,2.1085609177465763,0.995,0.96,0.907,0.829,0.753
split_cp,S0,20260808,0.7380544271889724,0.8808,1.4761088543779444,2.1142805134252436,0.994,0.956,0.898,0.816,0.74
m0_gaussian,S0,20260809,0.7509218577677613,0.8832,1.5018437155355229,2.101849904699502,0.998,0.954,0.909,0.835,0.72
split_cp,S0,20260809,0.7742951945803999,0.8936,1.5485903891608,2.096455701239717,0.998,0.965,0.921,0.848,0.736
m0_gaussian,S0,20260810,0.8217822688937019,0.9126,1.643564537787404,2.1277606690964492,0.998,0.979,0.94,0.868,0.778
split_cp,S0,20260810,0.8118998576988141,0.9098,1.623799715397628,2.125530772486654,0.997,0.979,0.939,0.867,0.767
m0_gaussian,S0,20260811,0.8422163985913437,0.9196,1.6844327971826867,2.133060048444811,0.999,0.985,0.928,0.877,0.809
split_cp,S0,20260811,0.8587268929854203,0.9228,1.717453785970841,2.140003761164887,0.999,0.986,0.935,0.881,0.813
m0_gaussian,S0,20260812,0.7828126216394016,0.8994,1.5656252432788031,2.0965878051633364,0.994,0.968,0.917,0.843,0.775
