method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage,ess,max_weight,infinite_interval_rate
oracle_wcp,S1,20260804,1.0711588642878704,0.9212,2.142317728575741,2.588582243949817,0.98,0.937,0.913,0.895,0.881,201.50961775236368,10.512600916022183,0.0
split_cp,S1,20260805,0.7708042730438569,0.8042,1.5416085460877138,2.7082366079807003,0.903,0.838,0.8,0.754,0.726,nan,nan,nan
oracle_wcp,S1,20260805,1.114717522374123,0.9338,2.229435044748246,2.558695408667918,0.98,0.951,0.928,0.916,0.894,192.96890854240834,10.878618284692243,0.0
split_cp,S1,20260806,0.7886999571565356,0.8136,1.5773999143130712,2.764830157905733,0.914,0.859,0.807,0.758,0.73,nan,nan,nan
oracle_wcp,S1,20260806,1.177484534956195,0.9424,2.35496906991239,2.6719117692229837,0.989,0.96,0.947,0.92,0.896,198.04107457901756,11.003683793733874,0.0
split_cp,S1,20260807,0.7464513936481132,0.7926,1.4929027872962264,2.786110216825969,0.9,0.785,0.794,0.766,0.718,nan,nan,nan
oracle_wcp,S1,20260807,1.0345829742078139,0.9118,2.0691659484156277,2.5516754135181747,0.971,0.923,0.906,0.888,0.871,194.15895010104063,10.971525931949305,0.0
split_cp,S1,20260808,0.7380544271889724,0.7732,1.4761088543779444,2.8861542035439656,0.9,0.786,0.739,0.729,0.712,nan,nan,nan
oracle_wcp,S1,20260808,1.0071012777012278,0.898,2.0142025554024556,2.574747396207407,0.969,0.902,0.888,0.87,0.861,197.71670735478074,10.812451037154268,0.0
split_cp,S1,20260809,0.7742951945803999,0.794,1.5485903891608,2.808799016658742,0.915,0.822,0.775,0.753,0.705,nan,nan,nan
oracle_wcp,S1,20260809,1.0439218164012163,0.9084,2.0878436328024326,2.5742353447121773,0.977,0.924,0.906,0.893,0.842,204.05996271614538,10.802540002874432,0.0
split_cp,S1,20260810,0.8118998576988141,0.8166,1.623799715397628,2.7435543101082343,0.921,0.835,0.823,0.782,0.722,nan,nan,nan
oracle_wcp,S1,20260810,0.9494947667271217,0.8788,1.8989895334542435,2.5897898400131267,0.956,0.893,0.876,0.847,0.822,211.0629905874665,10.997345417375616,0.0
split_cp,S1,20260811,0.8587268929854203,0.8422,1.7174537859708405,2.6998533391634134,0.934,0.851,0.829,0.818,0.779,nan,nan,nan
